#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       20000       1.634683e-02       1.894498e-03       8.296827e-03       1.252406e-01       1.226158e-02       5.358269e-02
       20100       5.783272e-02       9.903618e-03       3.049236e-02       8.174773e-01       1.532894e-02       1.583005e-01
       20200       3.269607e-02       2.595674e-03       1.642159e-02       2.805988e-01       2.060831e-02       8.695358e-02
       20300       7.457505e-02       2.458133e-03       3.375383e-02       6.857381e-01       1.461668e-02       1.462106e-01
       20400       3.051538e-02       3.436735e-03       1.701970e-02       5.785108e-01       1.031512e-02       9.275124e-02
       20500       3.399332e-02       2.113001e-03       2.206875e-02       2.893193e-01       1.222204e-02       1.018662e-01
       20600       4.381815e-02       1.987117e-03       2.169894e-02       2.533093e-01       1.887903e-02       1.135618e-01
       20700       9.678625e-02       1.408954e-02       5.231046e-02       1.133553e+00       1.331136e-02       1.893662e-01
       20800       3.744056e-02       3.230637e-03       2.037451e-02       2.996118e-01       2.764445e-02       1.034434e-01
       20900       2.505474e-02       3.814080e-03       1.365226e-02       1.245416e-01       1.586966e-02       5.276036e-02
       21000       2.583608e-02       1.430632e-03       1.553795e-02       1.919551e-01       1.256801e-02       7.134935e-02
       21100       2.627706e-02       4.468333e-03       1.563713e-02       2.334219e-01       1.169020e-02       7.366340e-02
       21200       5.859377e-02       5.818621e-04       2.849723e-02       8.411294e-01       9.022263e-03       1.085348e-01
       21300       2.025763e-02       2.209278e-03       1.067883e-02       1.587065e-01       9.061185e-03       5.167109e-02
       21400       5.518465e-02       9.463741e-03       3.381406e-02       9.207762e-01       1.133315e-02       1.260941e-01
       21500       4.234949e-02       6.911925e-03       2.202628e-02       2.705695e-01       1.867817e-02       1.195539e-01
       21600       6.515728e-02       1.001269e-02       3.573050e-02       8.175518e-01       1.693348e-02       1.468353e-01
       21700       5.189545e-02       9.046214e-03       3.228655e-02       5.689305e-01       1.820564e-02       1.347266e-01
       21800       6.781213e-02       2.708335e-03       3.162266e-02       9.131495e-01       1.408727e-02       1.422745e-01
       21900       3.896122e-02       1.798534e-03       2.043948e-02       5.055369e-01       1.876034e-02       1.018415e-01
